,GEO.id
0,1500000US360470551003
3,1500000US360470551002
6,1500000US360470519003
14,1500000US360470551001
22,1500000US360470523004
24,1500000US360470523005
26,1500000US360470549002
38,1500000US360470551004
40,1500000US360470523003
45,1500000US360470523001
49,1500000US360470523002
52,1500000US360470525001
56,1500000US360470519002
64,1500000US360470553002
71,1500000US360470519001
82,1500000US360470555001
96,1500000US360470553001
100,1500000US360470553003
105,1500000US360470557001
107,1500000US360470517001
111,1500000US360470517002
115,1500000US360470557002
